Object Name,Attributes,Library Name,Category,Feature Option
acs_common_ctrl_hdlr.obj,(+RO),rr_classb2.lib,L1 libraries,
csn_common.obj,(+RO),rr_classb2.lib,L1 libraries,
gprs_rlcmac_common_rest.obj,(+RO),rr_classb2.lib,L1 libraries,
gprs_rlcmac_dl_rest.obj,(+RO),rr_classb2.lib,L1 libraries,
mac_common_ctrl_hdlr.obj,(+RO),rr_classb2.lib,L1 libraries,
mac_data_blk_hdlr.obj,(+RO),rr_classb2.lib,L1 libraries,
mac_dl_ctrl_hdlr.obj,(+RO),rr_classb2.lib,L1 libraries,
mac_main.obj,(+RO),rr_classb2.lib,L1 libraries,
mac_sendmsgs.obj,(+RO),rr_classb2.lib,L1 libraries,
mac_utils.obj,(+RO),rr_classb2.lib,L1 libraries,
mpal_gprs_common_func.obj,(+RO),rr_classb2.lib,L1 libraries,
mpal_gprs_dl_func.obj,(+RO),rr_classb2.lib,L1 libraries,
mpal_gprs_dl_msg_hdlr.obj,(+RO),rr_classb2.lib,L1 libraries,
mpal_main.obj,(+RO),rr_classb2.lib,L1 libraries,
nstd_mobile_alloc_peer_pun.obj,(+RO),rr_classb2.lib,L1 libraries,
rlc_dl_ctrl_msg_hdlr.obj,(+RO),rr_classb2.lib,L1 libraries,
rlc_util.obj,(+RO),rr_classb2.lib,L1 libraries,
rmc_gprs_timer_hdlr.obj,(+RO),rr_classb2.lib,L1 libraries,
rmc_peer_dl_rest.obj,(+RO),rr_classb2.lib,L1 libraries,
rmp_timerhdlr.obj,(+RO),rr_classb2.lib,L1 libraries,
rmp_pktacc.obj,(+RO),rr_classb2.lib,L1 libraries,
rr_data_ind.obj,(+RO),rr_classb2.lib,L1 libraries,
rr_gprs_utils.obj,(+RO),rr_classb2.lib,L1 libraries,
rr_utils.obj,(+RO),rr_classb2.lib,L1 libraries,
csrr_recv_lapdm_mesgs.obj,(+RO),rr_classb2.lib,L1 libraries,
csrr_send_int_msg.obj,(+RO),rr_classb2.lib,L1 libraries,
lapdm_frame_funcs.obj,(+RO),rr_classb2.lib,L1 libraries,
lapdm_recv_mpal_msgs.obj,(+RO),rr_classb2.lib,L1 libraries,
lapdm_recv_rr_msgs.obj,(+RO),rr_classb2.lib,L1 libraries,
meas_funcs.obj,(+RO),rr_classb2.lib,L1 libraries,
mpal_gsm_common_func.obj,(+RO),rr_classb2.lib,L1 libraries,
mpal_gsm_dl_func.obj,(+RO),rr_classb2.lib,L1 libraries,
mpal_gsm_dl_msg_hdlr.obj,(+RO),rr_classb2.lib,L1 libraries,
mpal_gsm_ul_msg_hdlr.obj,(+RO),rr_classb2.lib,L1 libraries,
psi.obj,(+RO),rr_classb2.lib,L1 libraries,
rr_dual_sim_process.obj,(+RO),rr_classb2.lib,L1 libraries,
rmc_gprs_meas_funcs.obj,(+RO),rr_classb2.lib,L1 libraries,
rr_gprs_meas_decode.obj,(+RO),rr_classb2.lib,L1 libraries,
rr_spare_bit.obj,(+RO),rr_classb2.lib,L1 libraries,
rr_create.obj,(+RO),rr_classb2.lib,L1 libraries,
rrm_main.obj,(+RO),rr_classb2.lib,L1 libraries,
rrm_send_msgs.obj,(+RO),rr_classb2.lib,L1 libraries,
si_msg_decode.obj,(+RO),rr_classb2.lib,L1 libraries,
si_update_funcs.obj,(+RO),rr_classb2.lib,L1 libraries,
csrr_utils.obj,(+RO),rr_classb2.lib,L1 libraries,
rmc_common_access.obj,(+RO),rr_classb2.lib,L1 libraries,
rmpc_common_func.obj,(+RO),rr_classb2.lib,L1 libraries,
as_access_sem_funcs.obj ,(+RO),as_semaphore_utility.lib,L1 libraries,
rsva_create.obj,(+RO),rsva.lib,L1 libraries,
rsvas_utils.obj,(+RO),rsva.lib,L1 libraries,
rsvas_fsm.obj,(+RO),rsva.lib,L1 libraries,
sm_statemachine_lite.obj,(+RO),rsva.lib,L1 libraries,
*sst.lib,(+RO),sst.lib,Debugging related,
*sst_sec.lib,(+RO),sst_sec.lib,Debugging related,
usbacm_adap.obj,(+RO),usb.lib,Debugging related,
*nucleus.lib,(+RO),nucleus.lib,Nucleus libraries,
*nucleus_int.lib,(+RO),nucleus_int.lib,Nucleus libraries,
*nucleus_debug.lib,(+RO),nucleus_debug.lib,Nucleus libraries,
*nucleus_v2.lib,(+RO),nucleus_v2.lib,Nucleus libraries,
*nucleus_v2_int.lib,(+RO),nucleus_v2_int.lib,Nucleus libraries,
*nucleus_v2_debug.lib,(+RO),nucleus_v2_debug.lib,Nucleus libraries,
*nucleus_v2_ctrl_code.lib,(+RO),nucleus_v2_ctrl_code.lib,Nucleus libraries,
csc.obj,(+RO),nucleus_ctrl_code.lib,Nucleus libraries,
tcc.obj,(+RO),nucleus_ctrl_code.lib,Nucleus libraries,
tms.obj,(+RO),nucleus_ctrl_code.lib,Nucleus libraries,
evc.obj,(+RO),nucleus_ctrl_code.lib,Nucleus libraries,
quc.obj,(+RO),nucleus_ctrl_code.lib,Nucleus libraries,
pmc.obj,(+RO),nucleus_ctrl_code.lib,Nucleus libraries,
smc.obj,(+RO),nucleus_ctrl_code.lib,Nucleus libraries,
tct.obj,(+RO),nucleus_ctrl_code.lib,Nucleus libraries,
stack_timer.obj,(+RO),kal.lib,Nucleus libraries,
data_buff_pool.obj,(+RO),kal.lib,Nucleus libraries,
kal_nucleus_timer.obj,(+RO),kal.lib,Nucleus libraries,
rtfcore.obj,(+RO),fs.lib,Interrupt Disabled,
kal_error_handling.obj,(+RO),kal.lib,Interrupt Disabled,
kal_nucleus_error_handling.obj,(+RO),kal.lib,Interrupt Disabled,
intrCtrl.obj,(+RO),system.lib,Interrupt Disabled,
kal_nucleus_tasks.obj,(+RO),kal.lib,Interrupt Disabled,
tst_trace.obj,(+RO),tst.lib,Interrupt Disabled,
uscounter.obj,(+RO),system.lib,Interrupt Disabled,
tst_assert.obj,(+RO),tst.lib,Interrupt Disabled,
tst_file_trans_export.obj,(+RO),custom.lib,Interrupt Disabled,
fs_func.obj,(+RO),fs.lib,Interrupt Disabled,
fs_utility.obj,(+RO),fs.lib,Interrupt Disabled,
kal_active_module.obj,(+RO),kal.lib,Interrupt Disabled,
tst_querysimid.obj,(+RO),tst.lib,Interrupt Disabled,
kal_nucleus_itc.obj,(+RO),kal.lib,Interrupt Disabled,
ostd.obj,(+RO),sys_sec.lib,Interrupt Disabled,
dcl_wdt.obj,(+RO),peripheral.lib,Interrupt Disabled,
wdt.obj,(+RO),peripheral.lib,Interrupt Disabled,
ADIE_intrCtrl.obj,(+RO),system.lib,Interrupt Disabled,
dcl_rtc.obj,(+RO),peripheral.lib,Interrupt Disabled,
rtc.obj,(+RO),peripheral.lib,Interrupt Disabled,
dcl_f32k_clk.obj,(+RO),peripheral.lib,Interrupt Disabled,
f32k_clk.obj,(+RO),peripheral.lib,Interrupt Disabled,
drv_comm.obj,(+RO),peripheral.lib,Interrupt Disabled,
rtc_custom.obj,(+RO),custom.lib,Interrupt Disabled,
isrentry.obj,(+RO),system.lib,Interrupt Disabled,
drv_hisr.obj,(+RO),peripheral.lib,Interrupt Disabled,
stack_ltlcom.obj,(+RO),kal.lib,Interrupt Disabled,
tst_log.obj,(+RO),tst.lib,Interrupt Disabled,
stack_buff_pool.obj,(+RO),kal.lib,Interrupt Disabled,
kal_nucleus_buff_mgr.obj,(+RO),kal.lib,Interrupt Disabled,
kal_debug_buff_mngr.obj,(+RO),kal.lib,Interrupt Disabled,
armlibc_rt.obj,(+RO),system.lib,Interrupt Disabled,
kal_debug_nucleus_non_exported.obj,(+RO),kal.lib,Interrupt Disabled,
rtfiles.obj,(+RO),fs.lib,Interrupt Disabled,
rtfbuf.obj,(+RO),fs.lib,Interrupt Disabled,
fs_kal.obj,(+RO),fs.lib,Interrupt Disabled,
rtfex.obj,(+RO),fs.lib,Interrupt Disabled,
dcl_memory_card.obj,(+RO),mc.lib,Interrupt Disabled,
msdc.obj,(+RO),mc.lib,Interrupt Disabled,
kal_mem_mgr.obj,(+RO),kal.lib,Interrupt Disabled,
dcl_pmu.obj,(+RO),peripheral.lib,Interrupt Disabled,
kal_debug_error_handling.obj,(+RO),kal.lib,Interrupt Disabled,
dcl_gpt.obj,(+RO),peripheral.lib,Interrupt Disabled,
dcl_gpt_hw.obj,(+RO),peripheral.lib,Interrupt Disabled,
kal_lib_funcs.obj,(+RO),kal.lib,Interrupt Disabled,
fs_internal_api.obj,(+RO),fs.lib,Interrupt Disabled,
nvram_interface.obj,(+RO),nvram.lib,Interrupt Disabled,
stack_config.obj,(+RO),config.lib,Interrupt Disabled,
nvram_io.obj,(+RO),nvram.lib,Interrupt Disabled,
nvram_drval_fat.obj,(+RO),nvram.lib,Interrupt Disabled,
nvram_util.obj,(+RO),nvram.lib,Interrupt Disabled,
nvram_multi_folder.obj,(+RO),nvram.lib,Interrupt Disabled,
fs_task.obj,(+RO),fs.lib,Interrupt Disabled,
app_buff_alloc.obj,(+RO),kal.lib,Interrupt Disabled,
rtfbs.obj,(+RO),fs.lib,Interrupt Disabled,
dcl_chr_det.obj,(+RO),peripheral.lib,Interrupt Disabled,
Eint.obj,(+RO),system.lib,Interrupt Disabled,
ADIE_Eint.obj,(+RO),system.lib,Interrupt Disabled,
eint_def.obj,(+RO),custom.lib,Interrupt Disabled,
dcl_bmt.obj,(+RO),bmt.lib,Interrupt Disabled,
bmt_utility.obj,(+RO),bmt.lib,Interrupt Disabled,
bmt_task_main.obj,(+RO),bmt.lib,Interrupt Disabled,
dcl_adc.obj,(+RO),peripheral.lib,Interrupt Disabled,
adcsche.obj,(+RO),peripheral.lib,Interrupt Disabled,
adcmeasure.obj,(+RO),peripheral.lib,Interrupt Disabled,
event_shed.obj,(+RO),kal.lib,Interrupt Disabled,
kal_nucleus_evshed_buff_mgr.obj,(+RO),kal.lib,Interrupt Disabled,
mlib_dll.obj,(+RO),kal.lib,Interrupt Disabled,
nvram_l1def.obj,(+RO),nvram.lib,Interrupt Disabled,
kal_public_api.obj,(+RO),Unknown,Interrupt Disabled,
custom_nvram_int_config.obj,(+RO),custom.lib,Interrupt Disabled,
custom_nvram_sec.obj,(+RO),custom.lib,Interrupt Disabled,
nvram_sec.obj,(+RO),nvram_sec.lib,Interrupt Disabled,
fs_func_adv.obj,(+RO),fs.lib,Interrupt Disabled,
fs_internal.obj,(+RO),fs.lib,Interrupt Disabled,
adc_msg_handle.obj,(+RO),peripheral.lib,Interrupt Disabled,
dcl_usb_drv.obj,(+RO),usb_driver.lib,Interrupt Disabled,
adc.obj,(+RO),peripheral.lib,Interrupt Disabled,
pdn.obj,(+RO),system.lib,Interrupt Disabled,
lpwr.obj,(+RO),peripheral.lib,Interrupt Disabled,
custom_drv_init.obj,(+RO),custom.lib,Interrupt Disabled,
dcl_usb_hcd.obj,(+RO),usb_driver.lib,Interrupt Disabled,
audio_service.obj,(+RO),audio.lib,Interrupt Disabled,
afe.obj,(+RO),custom.lib,Interrupt Disabled,
afe_common.obj,(+RO),audio.lib,Interrupt Disabled,
afe_6250.obj,(+RO),audio.lib,Interrupt Disabled,
l1audio_trace.obj,(+RO),audio.lib,Interrupt Disabled,
mm_power_ctrl.obj,(+RO),mm_comm.lib,Interrupt Disabled,
mm_power_ctrl_mt6250.obj,(+RO),mm_comm.lib,Interrupt Disabled,
verno.obj,(+RO),verno.lib,Interrupt Disabled,
tst_viti_usb_logging.obj,(+RO),tst.lib,Interrupt Disabled,
tst_sp_logging.obj,(+RO),tst.lib,Interrupt Disabled,
tst_mod_func.obj,(+RO),tst.lib,Interrupt Disabled,
tst_create.obj,(+RO),tst.lib,Interrupt Disabled,
gv.obj,(+RO),tst.lib,Interrupt Disabled,
tst_ext.obj,(+RO),tst.lib,Interrupt Disabled,
tst_hal_wrapper_layer.obj,(+RO),tst.lib,Interrupt Disabled,
idma.obj,(+RO),dsp_ram.lib,Interrupt Disabled,
gdi_util.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_lcd.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_layer.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_mutex.obj,(+RO),gdi.lib,Interrupt Disabled,
gdc_main.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_image.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_primitive.obj,(+RO),gdi.lib,Interrupt Disabled,
gd_primitive24.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_image_jpeg.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi.obj,(+RO),gdi.lib,Interrupt Disabled,
AppMemMgrCore.obj,(+RO),mmi_framework.lib,Interrupt Disabled,
app_mem.obj,(+RO),applib.lib,Interrupt Disabled,
mmi_frm_remutex.obj,(+RO),mmi_framework.lib,Interrupt Disabled,
kal_adm.obj,(+RO),kal.lib,Interrupt Disabled,
history.obj,(+RO),mmi_framework.lib,Interrupt Disabled,
Scenario.obj,(+RO),mmi_framework.lib,Interrupt Disabled,
readres.obj,(+RO),mmiresource.lib,Interrupt Disabled,
mmi_rp_app_data.obj,(+RO),mmiresource.lib,Interrupt Disabled,
sublcdhistory.obj,(+RO),mmi_framework.lib,Interrupt Disabled,
med_utility.obj,(+RO),media.lib,Interrupt Disabled,
jpeg_encode_api.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
jpeg_encode_int_sw.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
fsal.obj,(+RO),fs.lib,Interrupt Disabled,
swje_fragment_processor.obj,(+RO),gfx_core16.lib,Interrupt Disabled,
jpeg_encode_int.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
drv_gfx_dynamic_switch.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
simple_memory_manager.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
gdi_imgdec.obj,(+RO),gdi.lib,Interrupt Disabled,
kal_task_ops.obj,(+RO),kal.lib,Interrupt Disabled,
ext_drv_assert_hdlr_if.obj,(+RO),custom.lib,Interrupt Disabled,
kal_nucleus_flmm.obj,(+RO),kal.lib,Interrupt Disabled,
init_memory_stack.obj,(+RO),system.lib,Interrupt Disabled,
wingui.obj,(+RO),mmi_framework.lib,Interrupt Disabled,
rgb_rotator_api.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
rgb_rotator_int_hw.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
g2d_common_api.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
g2d_drv_common_6250_series.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
drv_gfx_hisr_ctrl.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
kal_hisr_initialize.obj,(+RO),kal.lib,Interrupt Disabled,
gdi_lfs.obj,(+RO),gdi.lib,Interrupt Disabled,
display_io.obj,(+RO),drv_display.lib,Interrupt Disabled,
lcd_power_mgr.obj,(+RO),drv_display.lib,Interrupt Disabled,
wfd_lcd_common.obj,(+RO),drv_display.lib,Interrupt Disabled,
lcd_if_manager.obj,(+RO),drv_display.lib,Interrupt Disabled,
wfcapi.obj,(+RO),drv_display.lib,Interrupt Disabled,
wfdapi.obj,(+RO),drv_display.lib,Interrupt Disabled,
wfd_hwdevice_6250.obj,(+RO),drv_display.lib,Interrupt Disabled,
lcd.obj,(+RO),custom.lib,Interrupt Disabled,
wfd_lcd_6250.obj,(+RO),drv_display.lib,Interrupt Disabled,
lcd_tear_manager.obj,(+RO),drv_display.lib,Interrupt Disabled,
lcd_tear_6250.obj,(+RO),drv_display.lib,Interrupt Disabled,
gd_primitive16.obj,(+RO),gdi.lib,Interrupt Disabled,
flatten_api.obj,(+RO),drv_display.lib,Interrupt Disabled,
gdi_image_mav.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_image_hwjpg_v2.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_image_alpha_bmp.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_image_alpha_bmp_v2.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_animate.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_2d_engine.obj,(+RO),gdi.lib,Interrupt Disabled,
ucs2.obj,(+RO),mmi_framework.lib,Interrupt Disabled,
app_str.obj,(+RO),applib.lib,Interrupt Disabled,
lcd_exception_api_6250.obj,(+RO),drv_display.lib,Interrupt Disabled,
custom_uem.obj,(+RO),custom.lib,Interrupt Disabled,
uem_gpio.obj,(+RO),custom.lib,Interrupt Disabled,
dcl_pwm.obj,(+RO),peripheral.lib,Interrupt Disabled,
pixcomfontengine.obj,(+RO),mmi_framework.lib,Interrupt Disabled,
gdi_font.obj,(+RO),gdi.lib,Interrupt Disabled,
gdi_font_show_char.obj,(+RO),Unknown,Interrupt Disabled,
g2d_font_api.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
combo_flash_nor.obj,(+RO),custom.lib,Interrupt Disabled,
flc2_debug_functions.obj,(+RO),flc2.lib,Interrupt Disabled,
visualhisr.obj,(+RO),mm_comm.lib,Interrupt Disabled,
tmt.obj,(+RO),nucleus_ctrl_code.lib,Interrupt Disabled,PLATFORM = MT6250
media.obj,(+RO),audio.lib,Interrupt Disabled,
wav_thumb.obj,(+RO),audio.lib,Interrupt Disabled,
audio_idma.obj,(+RO),audio.lib,Interrupt Disabled,
vm.obj,(+RO),audio.lib,Interrupt Disabled,
am.obj,(+RO),audio.lib,Interrupt Disabled,
sp_drv.obj,(+RO),audio.lib,Interrupt Disabled,
sbc_drv.obj,(+RO),audio.lib,Interrupt Disabled,
apm_comp.obj,(+RO),audio_comp.lib,Interrupt Disabled,
pcmRouteService.obj,(+RO),audio_comp.lib,Interrupt Disabled,
sp_enhance.obj,(+RO),audio.lib,Interrupt Disabled,
ddload.obj,(+RO),dsp_ram.lib,Interrupt Disabled,
pcm.obj,(+RO),audio.lib,Interrupt Disabled,
amr.obj,(+RO),audio.lib,Interrupt Disabled,
dsp_ptch_6250_GSM.obj,(+RO),Unknown,Interrupt Disabled,
MCU_RM.obj,(+RO),sys_sec.lib,Interrupt Disabled,
MD_RM.obj,(+RO),sys_sec.lib,Interrupt Disabled,
NAND_MTD.obj,(+RO),mtd.lib,Interrupt Disabled,
gcu.obj,(+RO),cipher.lib,Interrupt Disabled,
dcl_pmu6250.obj,(+RO),peripheral.lib,Interrupt Disabled,
pmic_drv.obj,(+RO),custom.lib,Interrupt Disabled,
pmu_custom.obj,(+RO),custom.lib,Interrupt Disabled,
dcl_pmu6250_init.obj,(+RO),peripheral.lib,Interrupt Disabled,
wfd_lcd_adapter.obj,(+RO),drv_display.lib,Interrupt Disabled,
flatten_api_6250.obj,(+RO),drv_display.lib,Interrupt Disabled,
pwmdrv.obj,(+RO),custom.lib,Interrupt Disabled,
gpio_drv.obj,(+RO),custom.lib,Interrupt Disabled,
gpio_setting.obj,(+RO),custom.lib,Interrupt Disabled,
alerterdrv.obj,(+RO),custom.lib,Interrupt Disabled,
visual_comm.obj,(+RO),mm_comm.lib,Interrupt Disabled,
idp_core.obj,(+RO),drv_idp.lib,Interrupt Disabled,
idp_engines_mt6252.obj,(+RO),drv_idp.lib,Interrupt Disabled,
idp_resz_mt6252.obj,(+RO),drv_idp.lib,Interrupt Disabled,
idp_resz_crz_mt6252.obj,(+RO),drv_idp.lib,Interrupt Disabled,
idp_imgdma_mt6252.obj,(+RO),drv_idp.lib,Interrupt Disabled,
idp_imgdma_rotdma0_mt6252.obj,(+RO),drv_idp.lib,Interrupt Disabled,
idp_hisr_mt6252.obj,(+RO),drv_idp.lib,Interrupt Disabled,
upll_ctrl.obj,(+RO),usb_driver.lib,Interrupt Disabled,
dcl_aux.obj,(+RO),peripheral.lib,Interrupt Disabled,
accdet.obj,(+RO),peripheral.lib,Interrupt Disabled,
spi.obj,(+RO),peripheral.lib,Interrupt Disabled,
dcl_sim.obj,(+RO),sim_driver.lib,Interrupt Disabled,
custom_sim_driver.obj,(+RO),custom.lib,Interrupt Disabled,
icc_sim_common_mtk.obj,(+RO),sim_driver.lib,Interrupt Disabled,
icc_switchControl2_mt6306.obj,(+RO),mt6306.lib,Interrupt Disabled,
MT6306_I2C.obj,(+RO),mt6306.lib,Interrupt Disabled,
MT6306_custom.obj,(+RO),custom.lib,Interrupt Disabled,
MT6306_HW_I2C.obj,(+RO),mt6306.lib,Interrupt Disabled,
dcl_i2c.obj,(+RO),peripheral.lib,Interrupt Disabled,
i2c.obj,(+RO),peripheral.lib,Interrupt Disabled,
icc_switchControl2.obj,(+RO),sim_driver.lib,Interrupt Disabled,
MT6302_SPI.obj,(+RO),sim_driver.lib,Interrupt Disabled,
MT6302_custom.obj,(+RO),custom.lib,Interrupt Disabled,
icc_switchcontrol1_aw6314_dummy.obj,(+RO),aw6314.lib,Interrupt Disabled,
stack.obj,(+RO),system.lib,Interrupt Disabled,
tone2.obj,(+RO),audio.lib,Interrupt Disabled,
MedAdapt.obj,(+RO),audio_comp.lib,Interrupt Disabled,
AudComUtil.obj,(+RO),audio_comp.lib,Interrupt Disabled,
audioPP.obj,(+RO),audio.lib,Interrupt Disabled,
fsal_buffer.obj,(+RO),fs.lib,Interrupt Disabled,
i2s_drv.obj,(+RO),audio.lib,Interrupt Disabled,
btif.obj,(+RO),btdrv.lib,Interrupt Disabled,
owfnativestream.obj,(+RO),drv_display.lib,Interrupt Disabled,
wfc_autonomous.obj,(+RO),drv_display.lib,Interrupt Disabled,
L1Trc.obj,(+RO),tst.lib,Interrupt Disabled,
tst_file_log_write.obj,(+RO),custom.lib,Interrupt Disabled,
dsp_init.obj,(+RO),dsp_ram.lib,Interrupt Disabled,
dcl_pmu_common.obj,(+RO),peripheral.lib,Interrupt Disabled,
usb_debug_tool.obj,(+RO),usb.lib,Interrupt Disabled,
usb_custom.obj,(+RO),custom.lib,Interrupt Disabled,
usbacm_drv.obj,(+RO),usb.lib,Interrupt Disabled,
usb_adap.obj,(+RO),usb.lib,Interrupt Disabled,
usb_mode.obj,(+RO),usb.lib,Interrupt Disabled,
usbacm_ft.obj,(+RO),usb.lib,Interrupt Disabled,
usb.obj,(+RO),usb.lib,Interrupt Disabled,
usbimage_drv.obj,(+RO),usb.lib,Interrupt Disabled,
usb_task.obj,(+RO),usb.lib,Interrupt Disabled,
nvram_ltable.obj,(+RO),nvram.lib,Interrupt Disabled,
usbvideo_drv.obj,(+RO),usb.lib,Interrupt Disabled,
usbms_drv.obj,(+RO),usb.lib,Interrupt Disabled,
usbms_adap.obj,(+RO),usb.lib,Interrupt Disabled,
usb_resource.obj,(+RO),usb.lib,Interrupt Disabled,
usbvideo_state.obj,(+RO),usb.lib,Interrupt Disabled,
cal_main.obj,(+RO),camera.lib,Interrupt Disabled,
cal_scenario_ctrl.obj,(+RO),camera.lib,Interrupt Disabled,
cal_webcam.obj,(+RO),camera.lib,Interrupt Disabled,
jpeg_encode_wrapper.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
owfimage.obj,(+RO),drv_display.lib,Interrupt Disabled,
sensor_frame_rate_lut.obj,(+RO),custom.lib,Interrupt Disabled,
cal_feature_ctrl.obj,(+RO),camera.lib,Interrupt Disabled,
cal_camera_nvram.obj,(+RO),camera.lib,Interrupt Disabled,
Renderer.obj,(+RO),audio_comp.lib,Interrupt Disabled,
dpmgr.obj,(+RO),audio.lib,Interrupt Disabled,
AudioMixer.obj,(+RO),audio_comp.lib,Interrupt Disabled,
PcmSink.obj,(+RO),audio_comp.lib,Interrupt Disabled,
ft_fnc_util.obj,(+RO),ft.lib,Interrupt Disabled,
meta_customize.obj,(+RO),custom.lib,Interrupt Disabled,
ft_fnc.obj,(+RO),ft.lib,Interrupt Disabled,
ft_main.obj,(+RO),ft.lib,Interrupt Disabled,
touch_panel.obj,(+RO),peripheral.lib,Interrupt Disabled,
ts_drv.obj,(+RO),peripheral.lib,Interrupt Disabled,
dcl_hts.obj,(+RO),peripheral.lib,Interrupt Disabled,
video_comm_component_v2.obj,(+RO),video.lib,Interrupt Disabled,
video_encoder_component_v2.obj,(+RO),video_sec.lib,Interrupt Disabled,
video_decoder_component_v2.obj,(+RO),video_sec.lib,Interrupt Disabled,
video_comm_v2.obj,(+RO),video.lib,Interrupt Disabled,
video_dbg_v2.obj,(+RO),video.lib,Interrupt Disabled,
video_codec_utility_v2.obj,(+RO),video.lib,Interrupt Disabled,
video_fluency_utility.obj,(+RO),fluency.lib,Interrupt Disabled,
video_buffer_management_v2.obj,(+RO),video.lib,Interrupt Disabled,
video_fluency_control.obj,(+RO),fluency_sec.lib,Interrupt Disabled,
SCD_eng.obj,(+RO),fluency_sec.lib,Interrupt Disabled,
video_codec_buffer_mgr_v2.obj,(+RO),video_sec.lib,Interrupt Disabled,
bmt_hw.obj,(+RO),bmt.lib,Interrupt Disabled,
isp_webcam.obj,(+RO),camera.lib,Interrupt Disabled,
isp_feature.obj,(+RO),camera.lib,Interrupt Disabled,
isp_control.obj,(+RO),camera.lib,Interrupt Disabled,
isp_isr.obj,(+RO),camera.lib,Interrupt Disabled,
nli_arb.obj,(+RO),peripheral.lib,Interrupt Disabled,
idp_scen_cp_mt6252.obj,(+RO),drv_idp.lib,Interrupt Disabled,
idp_scen_vr_mt6252.obj,(+RO),drv_idp.lib,Interrupt Disabled,
melody_common.obj,(+RO),audio_comp.lib,Interrupt Disabled,
icc_switchControl1_mt6306.obj,(+RO),mt6306.lib,Interrupt Disabled,
